question,answer,category
"what if worker requests emergency price revision due to commodity shock","Trigger exceptional repricing review requiring market proof and mutual written approval.","price_revision_dispute"
"what if employer rejects all price revisions despite proven market surge","Offer mediation path balancing continuity, fairness, and contract rigidity.","price_revision_dispute"
"what if disputes involve both schedule delay and quality defects","Split case into parallel tracks so payment and remediation can proceed independently.","multi_issue_dispute"
"what if either party threatens legal action during active job","Preserve all logs, restrict harassment, and move to formal dispute channel while minimizing operational disruption.","legal_escalation_dispute"
"what if no arbitration clause exists in contract","Use platform mediation workflow first, then court-compatible evidence package for formal litigation route.","legal_escalation_dispute"
"what if mediation fails and parties still need project completion","Enable controlled transition plan: partial settlement, replacement worker flow, and retained evidence for court.","legal_escalation_dispute"
"what if employer account is suspended while active worker payments are pending","Protect worker-earned funds, process compliant payouts, and notify employer of suspension grounds.","account_suspension_dispute"
"what if worker account is suspended after work done but before payout","Run post-suspension payout review to release legitimate earnings minus policy-approved deductions.","account_suspension_dispute"
"what if parties dispute whether work happened on agreed geolocation","Use check-in logs, geo-stamped media, and message timeline for verification.","evidence_dispute"
"what if one party deletes messages before dispute filing","Use server-side retention and immutable audit records where available.","evidence_dispute"
"what if customer support response itself is disputed as biased","Escalate to second-level review with anonymized case summary and policy citation.","support_process_dispute"
"what if employer pays subscription but cannot access premium hiring features","Validate entitlement state, restore features, and provide service-credit compensation if outage is confirmed.","subscription_dispute"
"what if worker pays boosted visibility fee but ranking does not improve","Audit boost delivery logs and refund where feature delivery failed.","subscription_dispute"
"what if employer and worker both claim platform outage caused losses","Check incident timeline, apply SLA credits where applicable, and exclude unsupported consequential damages.","platform_outage_dispute"
"what if dispute evidence includes private third-party personal data","Mask or remove unrelated personal data before review to comply with privacy obligations.","privacy_dispute"
"what if same employer repeatedly gets into payment disputes with multiple workers","Trigger risk scoring, payment safeguards, and possibly mandatory escrow for future jobs.","risk_control_dispute"
"what if same worker repeatedly receives quality complaints from multiple employers","Apply quality intervention plan, retraining requirements, and progressive account restrictions.","risk_control_dispute"
"what if both parties agree to settle but disagree on wording","Provide settlement template with release scope, payment terms, and no-admission clauses.","settlement_dispute"
"what if settlement payment is made but review/complaint remains open","Auto-close linked dispute items after settlement verification and preserve record as resolved.","settlement_dispute"
"what if either side breaches signed settlement terms","Reopen enforcement track and apply agreed remedies in settlement document.","settlement_dispute"
